finding_id,severity,affected_artifact,current_claim,evidence,why_wrong,impact,recommended_disposition,current_benchmark_blocked,related_claims
R2-F01,MAJOR,"data/scenario_simulation_v2_1 (условие reflector_seasonal, 128 сценариев); configs/scenario_simulation_v2_1.json",Зимняя недоступность отражателя = ноябрь–декабрь; термический сдвиг сбрасывается 1 января,SRC01 §2.1 (снег ноя–апр); SRC04 §3.4 (сезоны 26.04–28.10); SUP01 p.14 (сцены ~май–окт); SRC05 p.15; R2 парный анализ causal_history: разница reflector−ordinary ≈−15…−21 мм в май–окт и ≈0 в янв–мар,"В условии присутствуют 6 кампаний снежного сезона (янв–апр), для которых документированные радарные наборы района наблюдений не содержат; сброс 1 января создаёт кажущиеся скачки +30…50 мм",Результаты по reflector-страте отражают артефакт календаря; ложные ускорения/переключения,"ERRATUM_CANDIDATE (документация: 'pure stress, calendar contradicted by sources'); V3_ONLY исправление",false,"R2-C022, C023"
R2-F02,MAJOR,configs/supplementary_source_manifest.csv; scenario_constraints_v2; тексты ВКР,Семь численных доноров — профили СКРУ-1,SUP01 p.15 — шаблонный заголовок 'СКРУ-1 и СКРУ-2'; p.12 тот же заголовок над Березниками; источник — слайды с файлообменника; SRC05 подтверждает только линию 5 (Соликамск 2011),Атрибуция конкретному руднику не доказана; источник непригоден как финальная ссылка ВКР,Claim domain 'SKRU-1 калибровка' завышен; библиография,DOCUMENT_ONLY + NEW_SOURCE_REQUIRED (MER-01),false,"R2-C001, C017, C019"
R2-F03,MAJOR,DATA_FOUNDATION_V2_RU.md; configs/scenario_simulation_v2_1.json:process_families; README v2.1,Нет наблюдённых временных траекторий; семейства 'мотивированы источниками'; равные доли,"SRC05 рис.6б (нивелирование+радар 2004–2008, почти линейно); SUP01 p.14 врезка (2011–2016, ≈70–75 мм/год); SRC04 §3.4; отношение 1-год/5-лет ≤0.2; EXT04 (реактивация 1984–85), EXT03 (800 мм/год при C=0.7)","Временные данные существовали, но не зарегистрированы; 'motivation' создаёт впечатление эмпирической калибровки смеси",Интерпретация бенчмарка как реалистичного для СКРУ-1 необоснована,DOCUMENT_ONLY; V3_ONLY (веса по evidence),false,"R2-C024, C034, C057"
R2-F04,MINOR,Интерпретация доноров (DATA_FOUNDATION_V2_RU.md),Семь donor cohorts,4 линии; три вложенные пары на одних реперах,Зависимость не задокументирована,Переоценка разнообразия evidence,DOCUMENT_ONLY,false,R2-C011
R2-F05,MINOR,profile_series_inventory.csv (nominal_interval_years),d = 5 / 1 год,Радарный ряд p.14: май 2011 – ~окт 2016,Неопределённость длительности не распространяется,Смещение масштаба скоростей до ~10–50%,V3_ONLY,false,R2-C005
R2-F06,MINOR,SRC01 как источник физических параметров (будущий TRACK B),σh=1.2–1.5γH; конвергенция 2–4 мм/сут; проницаемость ≤1e−8 м/сут — условия СКРУ-1,Библиография SRC01: [23] карьер Кольского п-ова; [24] аналитическое моделирование; проницаемость без ссылки,Параметры перенесены с других объектов/без источника,Ошибочные начальные условия физических миров,DOCUMENT_ONLY (запрет использования),false,"R2-C048–C050, C052"
R2-F07,MINOR,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv (TECH-14),Отработка 1958–1959; закладка включает 1971–1972,SRC01 рис.17; workbook v1 (верно),Регрессия транскрипции,Хронология одного блока (исторический v3.2),ERRATUM_CANDIDATE (историческое),false,R2-C038
R2-F08,MINOR,"SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv (COORD-03, GEOM, NAT)",Блок 68; bed_thickness; lithology,Рис.14–16; табл.1.1,Неоднозначный глиф; неверная семантика колонок,Малое (исторический v3.2),ERRATUM_CANDIDATE / DOCUMENT_ONLY,false,R2-C039–C041
R2-F09,MINOR,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/METHODOLOGY_V3.md,Disp_min — точный минимум,7/8 значений ≈100.00x мм,Артефакт интерполяции,Исторический v3.2,DOCUMENT_ONLY,false,R2-C037
R2-F10,MINOR,data/scenario_simulation_v2_1/field_provenance.json,Геометрия сети = RECONSTRUCTED,"survey_profiles/datum_benchmarks: дизайн, шаг 190 м, provenance S","Сеть спроектирована, не восстановлена",Иллюзия реальной сети,DOCUMENT_ONLY,false,R2-C044
R2-F11,MINOR,Реестр ограничений v2,SRC04 = только дубликат; SUP01 p.14 = только легенда,"SRC04 §3.4 (СКРУ-2); SUP01 p.14 изолиния −70, линейка, сетка блоков",Доступные данные не зарегистрированы,Потеря региональной информации,DOCUMENT_ONLY; V3_ONLY,false,"R2-C015, C016, C026"
R2-F12,INFO,canonical_digitization.csv,Оцифровка корректна,Независимая оцифровка R2 по нативным растрам,—,Подтверждено: видимые маркеры 0–3 мм; 'unknown' частично читаемы; границы чтения неоднородны,DOCUMENT_ONLY,false,R2-C007–C009
R2-F13,INFO,modality_comparison.csv,Радар vs нивелирование — контекст,SUP01 p.10: поправки смещения/наклона,Согласие частично построено обработкой,Не использовать как независимую точность радара,DOCUMENT_ONLY,false,R2-C013
R2-F14,INFO,GPKG skru1_data_reconstruction_v3_2.gpkg,Слои реконструкции,Имена = имена исходных TAB; otrpol_kr2 = все 538 единиц,Риск принять за оригинал,—,DOCUMENT_ONLY,false,R2-C043
R2-F15,INFO,R1 (frozen): NEURAL_COMPARATORS_V2_1_RESEARCH_RU.md,IMM — 'физический prior',Физические источники,"Кинематический, не геомеханический prior",Формулировки ВКР,DOCUMENT_ONLY (R1 не менять),false,R2-C072
R2-F16,INFO,Текстовые слои сканов (SRC05),—,OCR 0.913 vs изображение 0.95,OCR-слой ненадёжен,Риск ложных чисел при автоматическом извлечении,DOCUMENT_ONLY,false,R2-C027
R2-F17,MAJOR,TRACK B (будущий v3),—,"Нет site-specific E, ν, ρ, ползучести, K0, температуры; хронология — 11 зон + 1 блок; геометрия — растры",—,Физический генератор миров не может быть откалиброван по СКРУ-1; только prior-ансамбли,NEW_SOURCE_REQUIRED; V3_ONLY,false,PE-*
R2-F18,MINOR,SRC01 гл.2 как источник геометрии,Глубины/мощности/падения,Внутренние противоречия §2.3/§2.4,Нельзя использовать сводные абзацы,Геометрия пластов,DOCUMENT_ONLY,false,R2-C047
R2-F19,INFO,Локальный корпус,—,Нет ни одного TAB/DAT/MAP/ID/SHP,—,Потолок реконструкции подтверждён,DOCUMENT_ONLY,false,R2-C035
