evidence_id,topic,item,value_or_description,unit,material_or_layer,source_id,location,site_specificity,numeric_or_qualitative,georeferenced,test_type_or_method,conditions,evidence_tier,confidence,solver_usability,identifiability_class,citation_admissibility,notes
PE-001,stratigraphy,Разрез галогенной формации Соликамской впадины,"Подстилающая каменная соль (ПдКС) — калийная залежь (сильвинитовая КрI–КрIII, А; карналлитовая Б…К) — покровная каменная соль (ПКС); глинисто-ангидритовая толща в основании",—,соленосная толща,SRC01 (по Кудряшову 2013),"§2.2.1, рис.6–7",regional,qualitative,no,литературная сводка,—,TIER_2 (через вторичный текст),medium,PARTIAL: порядок слоёв,BOUNDED_BY_SOURCE,NEEDS_REPLACEMENT (Кудряшов 2001/2013),Нужны скважинные колонки СКРУ-1
PE-002,stratigraphy,Мощность ПдКС,"среднее 330 м; <50…515 м; пачки: нижняя 61–98.6 м, средняя 50–440 м, верхняя 8–66 м",м,ПдКС,SRC01 [17],§2.2.1,regional,numeric range,no,литература,—,TIER_2,medium,PARTIAL,BOUNDED_BY_SOURCE,NEEDS_REPLACEMENT,Не для СКРУ-1 конкретно
PE-003,stratigraphy,Мощность ПКС,"16–22 м, среднее 20 м",м,ПКС,SRC01 [12],§2.2.1,regional,numeric range,no,литература,—,TIER_2,medium,PARTIAL,BOUNDED_BY_SOURCE,NEEDS_REPLACEMENT,—
PE-004,stratigraphy,Промышленные пласты и глубины СКРУ-1,"КрII, АБ, В; глубина пластов 140–461 м; горизонты −113/−143/−240 м; мощность продуктивной толщи ~72 м (противоречит §2.4: 30–50 м; 250–350 м)",м,продуктивная толща,SRC01,§2.3 vs §2.4,site (без ссылки),numeric range,no,сводка ВКР,—,TIER_1_SECONDARY,low,WEAK,WEAKLY_CONSTRAINED,NEEDS_REPLACEMENT,Внутреннее противоречие (R2-X07)
PE-005,stratigraphy,Четвертичные отложения; рельеф,Q 1.5–10 м (до 80 м в переуглублениях); абс. отметки +108…+273 м,м,покров,SRC01 [15]; [12],"§2.1, 2.2.1",regional,numeric range,no,литература,—,TIER_2,medium,PARTIAL,BOUNDED_BY_SOURCE,NEEDS_REPLACEMENT,—
PE-006,structure,Тектоника,Дуринская/Боровицкая площади; пликативы до 400 м; внутрисоляные складки до 20–30 м; дизъюнктивы дискуссионны; будинаж МГ 4–12 м,м,соляная толща,"SRC01 [13,17,19–22]",§2.2.2,regional,qualitative+range,no,литература,—,TIER_2,medium,WEAK,PRIOR_ONLY,NEEDS_REPLACEMENT,База разломов Трапезников–Галинова 2024 (не локально)
PE-007,structure,Аномальные зоны КрII (AZOPOL/AZOLIN),Аномальные зоны I группы (№1 на уровне кровли ВЗТ; №2 зона влияния на уровне почвы …) для 12 участков,—,ВЗТ/КрII,SRC01,рис.16; рис.24,site,qualitative,local CS (координаты якорей),данные предприятия,—,TIER_1,medium,WEAK (фрагмент),WEAKLY_CONSTRAINED,FINAL_OK (как ВКР),Оригинальный слой недоступен
PE-008,hydrogeology,Водоносные горизонты над солью; ВЗТ,Водоносные комплексы верхней перми и Q; минимальная мощность ВЗТ 13.5 м (СКРУ-3); проницаемость соли ≤1e−8 м/сут (без ссылки),м; м/сут,надсолевая толща/ВЗТ,SRC01,§2.3,regional/site mix,qualitative+numeric,no,сводка,—,TIER_5 (проницаемость),low,WEAK,PRIOR_ONLY,NEEDS_REPLACEMENT,—
PE-009,geometry,Контуры блоков/панелей шахтного поля,"Полигоны блоков на растре (рис.13, 22); 538 плановых единиц реконструированы; исходный TAB отсутствует",м (локальная СК),план,SRC01; BOOT01,"рис.13б, 22",site,raster geometry,"approx (OSM, ±~260 м)",векторизация растра,состояние ~2022,TIER_1 (растр) / TIER_4 (реконструкция),medium,"WEAK: 2D, без глубины по блокам",WEAKLY_CONSTRAINED,FINAL_OK (рисунок),Не 3D
PE-010,geometry,Локальные координаты центроидов зон,"8 точек, x≈23 300–27 400 м, y≈40 430–42 250 м (местная СК)",м,—,SRC01,рис.14,site,numeric,local CS,таблица предприятия,—,TIER_1,high (транскрипция),PARTIAL (якоря привязки),DIRECTLY_IDENTIFIED (для 8 зон),FINAL_OK,COORD-03 блок 58/68 AMBIGUOUS
PE-011,geometry,"Глубина кровли, вынимаемая мощность, камеры, целики (1 СЗП, блок 6)","H=301.9/310.8(312.3)/307.0 м; m=3.19/5.49/5.30 м; камера 5.5 м; целик 6.4 м (пласты АБ, КрII)",м,"АБ, КрII",SRC01,рис.15,site,numeric,"no (зона 2, 2')",таблица предприятия,—,TIER_1,high,PARTIAL,DIRECTLY_IDENTIFIED (1 блок),FINAL_OK,"m — вынимаемая мощность, не мощность пласта"
