dc_id,data_class_ru,physical_event_time,measurement_time,processing_time,publication_time,availability_to_forecast,typical_latency,latency_status,latency_method,producer,storage,access,temporal_resolution,spatial_support,leakage_risk,leakage_mechanism,benchmark_rule,forecaster_role,skru1_status,worldspec_mapping,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
DC01,"Разведочные скважины с поверхности (солеразведочные, гидрогеологические, нефтяные): описание керна, отметки пластов, мощности","геологическое строение (пермь, статично); бурение — с 1925 г.",бурение/описание керна: 1925–1939 несистемно; с 1939 стадийная разведка; поиски по сетке ~4×4 км до 1987 г.; детальная разведка ~1×1 км на участках (годы по участкам),подсчёт запасов по участкам детальной разведки; структурные карты; переинтерпретация пик-отметок авторами (напр. единая БД 2020–2022 в SRC-012),фондовые отчёты (не публикуются); сводки в монографиях 1960–2013; таблицы в диссертации 2023,"предприятию — с даты отчёта о разведке; для молодых полей — до начала отработки участка, но для старых рудников (СКРУ-1 с 1930 г., БКПРУ-1) детальная разведка участка датирована позже ввода рудника (Соликамский участок — «1961 г.», смысл года не пояснён; освоение началось задолго до завершения оконтуривания залежи): до даты отчёта о детальной разведке — только поисковая сеть; внешнему пользователю — через монографии/диссертации с задержкой лет–десятилетий","бурение 1950 → публикация 1960 (~10 лет); контуры залежи пересматривались в 1929, 1933, 1960, 1966, 2005 (десятилетия); сезон 1925–1931 → печатный отчёт через ~1–2 года; аналог (Гремячинское): конец бурения 2009 → утверждение ГКЗ 11.2010 (~1 год)",DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",Геолком / Соликамская ГРП; УПБГРР ОАО «Уралкалий»; нефтяные компании (ПермНИПИнефть),геологические фонды; архивы Уралкалия,RESTRICTED (фонды) / PUBLIC (обобщения),однократно (статичное),точки скважин; сетка 4×4 км → ~1×1 км,MEDIUM,"переинтерпретации пик-отметок и контуров делаются позже (коррекции, исключение скв. 1403, нормирование Vp); смещение керна (избирательное разрушение → заниженный Н.О.)","EXTERNAL (по умолчанию): available_from = дата публикации обобщения, в котором напечатано значение (монография, статья, диссертация; год → 31.12, D-16); фондовый отчёт о разведке — только для OPERATOR: дата отчёта при свидетельстве её доступности, иначе UNKNOWN (не используется); переинтерпретации — дата их публикации; хранить версию интерпретации","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: таблица пик-отметок скважин района м/ш целиков (SRC-012, без дат бурения и отметок устьев); координаты — местная сетка без названия СК","BoreholeRecord + PickObservation (TemporalSupport.measurement_date=бурение, publication_date, available_from); EventType.EXPLORATION_DRILLING",VKM-SRC-011; VKM-SRC-012; VKM-SRC-014; VKM-SRC-024,EV-VN-S011-2686; EV-VN-S011-2072; EV-VN-S011-3970; EV-VN-S011-3502; EV-VN-S011-3066; EV-VN-S011-2470; EV-VN-S011-3752; EV-VN-S012-0309; EV-VN-S014-0028; EV-VN-S012-0406; EV-VN-S024-0348; EV-VN-S011-2730; EV-VN-S011-2706,FACT,HIGH,VKM-SRC-011 p147; VKM-SRC-011 p128; VKM-SRC-011 p186; VKM-SRC-011 p166; VKM-SRC-011 p159; VKM-SRC-011 p137; VKM-SRC-011 p168; VKM-SRC-012 p63; VKM-SRC-014 p10; VKM-SRC-012 p70; VKM-SRC-024 p109,VKM_REGIONAL; UNSTATED; SOLIKAMSK_GROUP; OTHER_POTASH_SITE; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S011-2686
DC02,"Подземная (эксплуатационная) разведка: разведочные выработки, подземные скважины из ниш, бороздовое опробование, геологическая документация стенок",геологическое строение; вскрытие выработками при проходке,"при проходке разведочных штреков (~500 м/мес) и бурении (~30 м керна/мес на комплекс), сетка подземных скважин 400×400 м впереди очистного фронта; документация стенок — сразу после проходки","колонки, планы минерального состава, литологические карты пластов; образцы на лабораторию в течение 7–10 сут",внутренняя документация рудника; избранные примеры — в монографиях (2013) и учебниках,внутри рудника — опережающе до очистной выемки панели; вне рудника — практически недоступно,внутри: дни–месяцы; публикация примеров: годы–десятилетия,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",геологическая служба рудника; ГИ УрО РАН (лаборатория),архив геологической службы рудника,INTERNAL,по мере развития горных работ,вдоль выработок; сетка скважин 400×400 м,MEDIUM,"зоны замещения и мелкая складчатость известны только после вскрытия выработками; итоговые карты содержат сведения, полученные позже t0","EXTERNAL (по умолчанию): внутренняя документация недоступна — только опубликованные примеры, available_from = дата публикации; OPERATOR: геология «впереди фронта» на t0 — только разведка, документированная ≤ t0 (дата документации при свидетельстве, иначе UNKNOWN); документация отработанных панелей — не раньше даты вскрытия","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: в корпусе нет подземных колонок/документации по панелям (только общие описания и пример Вк),BoreholeRecord(borehole_type=underground); EventType.GEOLOGICAL_MODEL_UPDATE,VKM-SRC-011; VKM-SRC-014; VKM-SRC-020; VKM-SRC-025; VKM-SRC-037; VKM-SRC-033,EV-VN-S014-0805; EV-VN-S037-0329; EV-VN-S037-0313; EV-VN-S020-0209; EV-VN-S025-0215; EV-VN-S025-0217; EV-VN-S011-1105; EV-VN-S011-1117; EV-VN-S011-0476; EV-VN-S011-0984; EV-VN-S011-2101; EV-VN-S033-0019,FACT,HIGH,VKM-SRC-014 p110; VKM-SRC-037 p40; VKM-SRC-037 p37; VKM-SRC-020 p70; VKM-SRC-025 p34; VKM-SRC-011 p58; VKM-SRC-011 p59; VKM-SRC-011 p26; VKM-SRC-011 p49; VKM-SRC-011 p131; VKM-SRC-033 p2,VKM_REGIONAL; BKPRU2; BKPRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S011-2101
DC03,"Лабораторные испытания керна и монолитов (прочность, деформируемость, ползучесть, длительная прочность, газоносность, плотность)",свойства породы (статично); отбор проб — при разведке/из выработок,испытание образцов: часы (ускоренная методика) — ~40 сут (ползучесть); образцы изготавливаются в течение 7–10 сут после отбора,"усреднение по пласту/слою, SQL-БД «Физико-механические свойства соляных пород ВКМКС»; калибровка моделей","агрегаты: 1992 (УФ ВНИИГ), 2008 (ГИ УрО РАН/ПГТУ), 2024 (калибровка по испытаниям ≤2020)","агрегированные свойства публичны с даты публикации; протоколы по пробам — внутренние (ГИ УрО РАН, заказчики)",испытания ≤2020 → публикация 2024; >20 лет испытаний → свод 2008; утверждение 1990 → печать 1992,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","ГИ УрО РАН, ПГТУ/ПНИПУ, УФ ВНИИГ, ВНИИ Галургии",БД ГИ УрО РАН; отчёты НИР,PUBLIC (агрегаты) / INTERNAL (протоколы),однократно,образец (LAB ≠ MASSIF),LOW (свойства) / HIGH (эффективные параметры),"«эффективные» параметры (снижение модулей, реология), подобранные по оседаниям, нельзя считать лабораторными — они содержат целевые данные","лабораторные значения: available_from = дата публикации; параметры, калиброванные по оседаниям после t0, запрещены","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: монолиты КрII сл.5 (СКРУ-1, СКРУ-3) для длительной прочности; газоносность пластов СКПРУ-1 (табл. 1.6, 1992) без дат/проб",Quantity(scale=LAB) + Transfer; EventType.LAB_TESTING,VKM-SRC-025; VKM-SRC-037; VKM-SRC-036; VKM-SRC-012; VKM-SRC-016,EV-VN-S025-0015; EV-VN-S025-0215; EV-VN-S025-0324; EV-VN-S025-0331; EV-VN-S025-0841; EV-VN-S025-0878; EV-VN-S025-0904; EV-VN-S037-0167; EV-VN-S036-0003; EV-VN-S012-0558; EV-VN-S016-0033,FACT,HIGH,VKM-SRC-025 p6; VKM-SRC-025 p34; VKM-SRC-025 p63; VKM-SRC-025 p64; VKM-SRC-025 p153; VKM-SRC-025 p162; VKM-SRC-025 p163; VKM-SRC-037 p14; VKM-SRC-036 p1; VKM-SRC-012 p102; VKM-SRC-016 p5,VKM_REGIONAL; SKRU1; GENERAL_METHOD; SOLIKAMSK_GROUP; BKPRU4,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S025-0324
DC04,"Геофизические исследования скважин (ГИС): АК (Vp), ГК, НК, кавернометрия, акустический телевизор; каротаж нефтяных скважин",доработочное (исходное) состояние массива в точке скважины,при бурении (даты по скважинам не указаны),"переобработка через десятилетия: удаление интервалов в колонне, склейка, нормирование, межскважинная корреляция, 3D-модель Vp (2019–2023)",диссертация 2023; статьи 2019–2023; стресс-интерпретация каротажа нефтяных скважин 2005–2006 → 2020,"кривые у держателя (часть — только растровые копии); 3D-модель — продукт ПНИПУ, не опубликован",≥14 лет (интерпретация 2005–2006 → статья 2020); десятилетия от бурения до модели,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",каротажные подрядчики; ПермНИПИнефть; ПНИПУ,Уралкалий/геологические фонды; IRAP RMS проект (не публ.),INTERNAL,однократно,профиль по стволу скважины,LOW (кривые) / MEDIUM (модель),"3D-модель свойств построена в 2019–2023 и настраивалась совместно с расчётами, сопоставляемыми с нивелированием","EXTERNAL (по умолчанию): available_from = дата публикации кривых/обобщения (дата каротажа доступности не задаёт); OPERATOR: дата каротажа — только при свидетельстве доступности кривых держателю, иначе UNKNOWN (не используется); 3D-модель свойств — дата её публикации","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","район м/ш целиков: АК только в 6 скважинах (2 — растровые), скв. 1403 исключена",BoreholeRecord.logging; ObservationSystem(modality=borehole_logging),VKM-SRC-012; VKM-SRC-030; VKM-SRC-011; VKM-SRC-037,EV-VN-S012-0405; EV-VN-S012-0406; EV-VN-S012-0409; EV-VN-S012-0535; EV-VN-S012-0610; EV-VN-S030-0021; EV-VN-S011-1325; EV-VN-S037-0524,FACT,HIGH,VKM-SRC-012 p70; VKM-SRC-012 p116; VKM-SRC-030 p2; VKM-SRC-011 p63; VKM-SRC-037 p82,SOLIKAMSK_GROUP; VKM_REGIONAL,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S012-0405
DC05,"Сейсморазведка: поверхностная МОГТ, шахтная ПВРО; сейсмогеомеханический контроль ВЗТ",строение ВЗТ/соляной толщи; аномалии упругих свойств,кампании перед/во время отработки полей (даты не приводятся); профили СКРУ-3 без дат,"структурные, скоростные, амплитудные разрезы (ГИ УрО РАН); сейсмогеомеханическое моделирование с учётом измеренных оседаний",отчёты/статьи ГИ УрО РАН; пример зонирования 2024,через отчёты ГИ УрО РАН / Уралкалий; разрезы в корпусе не воспроизведены,UNKNOWN (даты кампаний не приведены),UNKNOWN,латентность в источниках не указана,ГИ УрО РАН (Санфиров); подрядчики,ГИ УрО РАН / Уралкалий,INTERNAL,эпизодически (кампании),профили; покрытие шахтного поля частичное,MEDIUM–HIGH,сейсмогеомеханический прогноз обусловлен измеренными оседаниями (использует целевую переменную),"EXTERNAL (по умолчанию): available_from = дата публикации разрезов/обобщения; отчёт ГИ УрО РАН / Уралкалия — только для OPERATOR (дата отчёта при свидетельстве, иначе UNKNOWN); сейсмогеомеханические прогнозы — только выпущенные и откалиброванные по данным ≤ t0","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: сейсмических разрезов в корпусе нет,ObservationSystem(modality=seismic_survey); EventType.GEOPHYSICAL_SURVEY,VKM-SRC-012; VKM-SRC-021; VKM-SRC-011; VKM-SRC-014,EV-VN-S012-0181; EV-VN-S012-0178; EV-VN-S012-0180; EV-VN-S012-0182; EV-VN-S021-0056; EV-VN-S021-0014; EV-VN-S011-2009; EV-VN-S011-0648; EV-VN-S014-1223,FACT,MEDIUM,VKM-SRC-012 p35; VKM-SRC-012 p36; VKM-SRC-021 p3; VKM-SRC-021 p2; VKM-SRC-011 p118; VKM-SRC-011 p35; VKM-SRC-014 p254,VKM_REGIONAL; SKRU3; OTHER_POTASH_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S012-0178
DC06,"Сейсмологический мониторинг (наведённая сейсмичность, плотность выделения сейсмической энергии, макросейсмика)",сейсмические события (дата/время события),непрерывная регистрация сетью (отчётный период 1999–2001 в [Маловичко]); макросейсмическое обследование 1995,карты плотности энергии; прогнозные карты Es «на 2023 г.»,отчёты 1999–2001; статья 2023 (карта Es),каталог — у ГИ УрО РАН; карты — публично с даты статьи,отчётный уровень: годы,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","ГИ УрО РАН (Маловичко, Злобина, Шулаков)",ГИ УрО РАН,INTERNAL / PUBLIC (карты),непрерывно (каталог) / кумулятивные карты,эпицентры; сетки плотности энергии,HIGH,кумулятивные карты «на 2023» содержат события после t0 для любых t0<2023,"EXTERNAL (по умолчанию): каталог событий и карты — с даты публикации (время события доступности не задаёт); OPERATOR: каталог событий с временем ≤ t0 — только при свидетельстве оперативной доступности каталога держателю, иначе UNKNOWN; кумулятивные и прогнозные карты — не раньше даты среза и даты выпуска; прогнозная карта — модельный выход, не наблюдение","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: в ВКР (SRC-023) переоцифрована ПРОГНОЗНАЯ карта Es_max «на 2023 год» из [33] (Злобина Т.В., Шулаков Д.Ю. 2023, Горная промышленность S1, 76–82; внешняя проверка EXTWEB-SKRU1_SPECIFIC-001, F-SKRU1-007) — DERIVATION, держатель ГИ УрО РАН, публично с 2023; единицы ВКР Дж/м² против Дж/100 м² у первоисточника; каталог событий 2000–11.2022 (>3000 событий) — у ГИ УрО РАН, в корпусе отсутствует",ObservationSystem(modality=seismic_monitoring); EventType.DYNAMIC_EVENT для событий,VKM-SRC-011; VKM-SRC-012; VKM-SRC-023; VKM-SRC-018,EV-VN-S011-0541; EV-VN-S011-0542; EV-VN-S012-0144; EV-VN-S023-0302; EV-VN-S023-0303; EV-VN-S018-0024,FACT,MEDIUM,VKM-SRC-011 p30; VKM-SRC-012 p32; VKM-SRC-023 p48; VKM-SRC-018 p4,VKM_REGIONAL; SKRU2; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S023-0303
DC07,"Гравиметрия, магнитометрия, электроразведка; геофизический мониторинг ВЗТ",строение/разуплотнение/обводнение ВЗТ,"съёмки 1:25 000 (1990), магнитная 1:50 000 (1989), приповерхностные 1999; стадийный мониторинг ВЗТ (даты не указаны)",интерпретация разломов; комплексирование методов,отчёты; обобщение 2013,интерпретационные карты — с даты отчёта; первичные поля в корпусе отсутствуют,годы (отчёты),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",геофизические организации; геофизическая служба Уралкалия,фонды,RESTRICTED,эпизодически,площадные съёмки,MEDIUM,метод «констатирует» уже произошедшие изменения (запаздывающий индикатор); интерпретации пересматриваются,"EXTERNAL (по умолчанию): available_from = дата публикации интерпретационной карты/обобщения; отчёт — только для OPERATOR (дата отчёта при свидетельстве, иначе UNKNOWN); съёмка после t0 не используется ни в какой роли","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: нет данных в корпусе,ObservationSystem(modality=other: gravimetry/electrometry),VKM-SRC-011; VKM-SRC-040; VKM-SRC-018,EV-VN-S011-0535; EV-VN-S011-0659; EV-VN-S011-0592; EV-VN-S040-0106; EV-VN-S040-0107; EV-VN-S018-0035,FACT,MEDIUM,VKM-SRC-011 p30; VKM-SRC-011 p35; VKM-SRC-011 p33; VKM-SRC-040 p37; VKM-SRC-018 p6,VKM_REGIONAL; BKPRU1; BKPRU3; OTHER_VKM_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S040-0106
DC08,"Дистанционные данные (оптика, линеаменты/АКГИ, ЦМР SRTM/ASTER, LST) и рельеф предприятия",состояние поверхности на дату съёмки (эпоха ЦМР часто не определена),"сцены 1983–2002 (старые), 2010+ цифровые; SRTM (эпоха не указана в источниках); изолинии рельефа Уралкалия (дата съёмки не указана)","дешифрирование, ArcGIS; TRI и плотность линеаментов (ВКР 2025–2026)",карты 2004–2011; ВКР 2026,открытые продукты — сразу; интерпретационные карты — с даты статьи,~1 год (съёмка 2010 → статья 2011); топокарты обновляются раз в несколько десятилетий,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ЕНИ ПГНИУ; NASA/USGS; Уралкалий (рельеф),ГИС-слои авторов; USGS,PUBLIC/INTERNAL,однократно/редко,"растры 12,5–90 м; изолинии 2 м (1:2000)",MEDIUM,ЦМР/рельеф неизвестной эпохи может уже содержать оседания после t0,"эпоху рельефа фиксировать; при неизвестной эпохе — статус UNKNOWN, не использовать как исходную поверхность t0","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: рельеф предприятия (изолинии 2 м) без даты; SRTM,SpatialSupport; TemporalSupport.measurement_date=эпоха ЦМР,VKM-SRC-006; VKM-SRC-018; VKM-SRC-023,EV-VN-S006-0108; EV-VN-S006-0112; EV-VN-S006-0154; EV-VN-S006-0170; EV-VN-S018-0008; EV-VN-S018-0029; EV-VN-S018-0089; EV-VN-S023-0420,FACT,MEDIUM,VKM-SRC-006 p46; VKM-SRC-006 p12; VKM-SRC-006 p63; VKM-SRC-006 p72; VKM-SRC-018 p2; VKM-SRC-018 p4; VKM-SRC-018 p8; VKM-SRC-023 p82,GENERAL_METHOD; VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S006-0154
DC09,"Геологическая модель, структурные карты, каталоги разломов, нормативные зоны (интерпретационные продукты)",геологическое прошлое (пермь – кайнозой),"вход: скважины, геофизика, горные выработки за 1925–2012","монография 1-е изд. 2001, 2-е изд. 2013 (разломы/гидрогеология обновлены); каталог 173 разломов; конкурирующие схемы разломов 1974–2011","2001, 2004, 2013; схемы 1974–2011; «Указания» 2008 (зоны РФСД, ТДР/З-Р, ДРК)",версия модели доступна с даты издания; строение внутри соли уточняется по мере горных работ,годы–десятилетия,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",Кудряшов А.И.; ВНИИГ; ГИ УрО РАН; авторы схем разломов,монографии; фонды,PUBLIC (обобщения),версии (издания),месторождение/поле; точность оси разлома ~ячейка сетки (оценка ≈150 м для разлома 98),MEDIUM–HIGH,поздние версии модели используют данные вскрытия и наблюдений оседаний после t0 (напр. сопоставление разломов с оседаниями 2011),"версионировать геологическую модель; EXTERNAL (по умолчанию): для t0 — издание с датой публикации ≤ t0; внутренний отчёт — только для OPERATOR при свидетельстве даты его доступности, иначе UNKNOWN","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: профильная линия 12 и разлом 98 (сопоставление 2011); схемы разломов района Соликамска,EventType.GEOLOGICAL_MODEL_UPDATE; Provenance.status=INTERPOLATION/MODEL_CHOICE,VKM-SRC-011; VKM-SRC-018,EV-VN-S011-0015; EV-VN-S011-0316; EV-VN-S011-0336; EV-VN-S011-0533; EV-VN-S011-2649; EV-VN-S011-0383; EV-VN-S011-3387; EV-VN-S011-1121; EV-VN-S011-0355; EV-VN-S018-0005,FACT,HIGH,VKM-SRC-011 p4; VKM-SRC-011 p19; VKM-SRC-011 p21; VKM-SRC-011 p27; VKM-SRC-011 p142; VKM-SRC-011 p24; VKM-SRC-011 p163; VKM-SRC-011 p59; VKM-SRC-011 p22; VKM-SRC-018 p2,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S011-0015
DC10,"Гидрогеологические данные: режимные наблюдения, опытные откачки, притоки рассолов, химия и изотопия",гидрорежим; прорывы/притоки (дата начала притока),систематически с начала 1950-х; подсолевые воды ~45 лет; притоки при авариях — ежедневно/еженедельно,фондовые отчёты (Иконников 1990; Яковлев 1998),"монографии 2008, 2013",региональные диапазоны; временные ряды в корпусе отсутствуют,отчёты — годы; аварийные сводки — 1–2 года после события,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",гидрогеологические партии; УПБГРР; службы рудников,фонды,RESTRICTED,режимные сезонные / событийные,скважины/колодцы; рудник,MEDIUM,"аварийные записи известны оператору сразу, публикуются позже; сезонные пики уровня","EXTERNAL (по умолчанию): события притоков и режимные данные — available_from = дата публикации; OPERATOR: дата регистрации — только при свидетельстве, иначе UNKNOWN","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: рядов нет; исторические притоки в стволах (1930, 1935)",EventType.WATER_INFLOW / HYDRO_REGIME_CHANGE,VKM-SRC-011; VKM-SRC-025; VKM-SRC-014; VKM-SRC-040,EV-VN-S011-0686; EV-VN-S011-0779; EV-VN-S011-0701; EV-VN-S025-0213; EV-VN-S014-1116; EV-VN-S040-0070; EV-VN-S040-0072,FACT,MEDIUM,VKM-SRC-011 p36; VKM-SRC-011 p40; VKM-SRC-011 p38; VKM-SRC-025 p20; VKM-SRC-014 p211; VKM-SRC-040 p25,VKM_REGIONAL; OTHER_VKM_SITE; OTHER_POTASH_SITE; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S011-0686
