check_id,domain,description,passed,observed,expected,severity_if_fail
INT-001,archive,Оба ZIP-архива проходят CRC/ZIP test,True,"{'reconstruction_zip': {'exists': True, 'testzip_bad_member': None, 'passed': True}, 'bundle_zip': {'exists': True, 'testzip_bad_member': None, 'passed': True}}",all archive members readable,CRITICAL
INT-002,archive,Контрольные SHA-256 совпадают,True,"{'SKRU1_data_reconstruction_v2_1.zip': True, 'SKRU1_data_bundle_v2_1.zip': True, 'SKRU1_data_audit_and_catalog_v2_1.xlsx': True}",all True,CRITICAL
INT-003,manifest,"Манифест покрывает все файлы, кроме самого себя",True,"['metadata/dataset_manifest.csv', 'metadata/dataset_manifest.json']",only manifest files may be self-excluded,LOW
STR-001,schema,Составные/первичные ключи уникальны во всех основных таблицах,True,0,0,HIGH
STR-002,schema,Внешние ключи основных таблиц не имеют сирот,True,0,0,HIGH
SRC-001,source_fidelity,"1665 source-like строк извлечены из источника, а не добраны генератором",False,hard-coded 536+536+300+90+175+28 with RNG,source-derived row reconstruction,CRITICAL
SRC-002,time_anchor,Год 2022 для рисунка 22 прямо подтверждён источником,False,"['Полученные показатели преобразовываются в векторные линии (Рисунок 20) (стандартными алгоритмами выявления границ Канни и преобразования Хаффа) из которых далее вычисляются линейные плотности, для получения непрерывно распределенных полей параметров (Рисунок 21). Области современных тектонических движений находят свое отражение не столько в поле высот, кривизне и крутизне склонов, сколько в густоте и глубине расчленения. Наиболее подходящим к расчету параметров расчленения и не изменяющим геоморфологического смысла этого термина можно считать индекс TRI (terrain ruggedness index) [31] - меру вертикальной расчлененности в заданной окрестности. Для записи данных оседания земной поверхности выполнялась интерполяция изолиний в растр (Рисунок 22). Полученные растровые данные (Рисунок 21 и Рисунок 22) добавлялись в полигональные слои методов вычисления зональной статистики данных в пределах полигона участка. Для показателей , , , TRI вычислялось среднее арифметическое значение и размах значений (разница между максимальным и минимальным значением внутри участка). Для данных оседания вычислялись средние арифметические значения. В результате был сформирован один векторный слой данных, включающий в себя все доступные исходные данные (257 полей атрибутов, 1665 строк данных) (Рисунок 23).', 'Рисунок 20 - Показатели рельефа. а- рельеф; б- градиент рельефа; в- косинусное преобразование, мера рельефа, ; г- косинусное преобразование, мера рельефа, .', 'Рисунок 21 - Линейные плотности показателей рельефа. а- Индекс расчлененности рельефа TRI; б- градиент рельефа ; в- косинусное преобразование, мера рельефа, ; г- косинусное преобразование, мера рельефа, .', 'Рисунок 22 - Интерполяция данных оседания земной поверхности', 'Рисунок 23 - Интегральный слой векторных данных', '3.1.4 Дополнение ГИС-проекта специализированными данными']",explicit year attached to settlement map,CRITICAL
GEO-001,geometry,Все оцифрованные полигоны геометрически валидны,True,536,536,MEDIUM
GEO-002,geometry,Рабочие ячейки полностью лежат внутри плановых единиц,False,3.132 km2 outside,0 km2,HIGH
GEO-003,geometry,Все плановые единицы имеют основные агрегированные поля,False,138,0,HIGH
GEO-004,geometry,Маска границ не зависит от цвета поля оседаний,False,21.7% thresholded pixels are strong red,<1%,CRITICAL
