edge_id,from_node,to_node,edge_type,mechanism,evidence,strength,feedback,process_ids,status,scope,scale,confidence,source_ids,locator,vn_ids,quote_check,notes
CE-001,GEO_STRAT,GM_HORIZONS,physical,последовательность и мощности стратонов задают поверхности горизонтов,EV-VN-S012-0463;EV-VN-S012-0401,STRONG,no,PC-01,FACT,SOLIKAMSK_GROUP,FIELD,HIGH,VKM-SRC-012,"VKM-SRC-012 p.83 (§3.5); VKM-SRC-012 p.69 (§3.2, текст после Рис. 3.7)",EV-VN-S012-0463;EV-VN-S012-0401,EXACT,
CE-002,GEO_STRAT,GM_SEAMS,physical,положение продуктивных пластов в разрезе,EV-VN-S014-0454;EV-VN-S014-0823,STRONG,no,PC-28,FACT,SKRU1,FIELD,HIGH,VKM-SRC-014,VKM-SRC-014 p.77 (§3.1); VKM-SRC-014 p.113 (§4.1),EV-VN-S014-0454;EV-VN-S014-0823,EXACT,
CE-003,GEO_STRAT,GM_VZT,physical,ВЗТ — функциональная толща от кровли отрабатываемого пласта до подошвы водоносного горизонта,EV-VN-S003-0101;EV-VN-S035-0004,STRONG,no,PC-34,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VKM-SRC-003;VKM-SRC-035,VKM-SRC-003 p.31 (§2.1; ссылка [9]); VKM-SRC-035 p.1 (введение),EV-VN-S003-0101;EV-VN-S035-0004,EXACT,
CE-004,GEO_STRAT,GM_INTERSEAM,physical,мощности междупластий,EV-VN-S014-1072,STRONG,no,PC-25,FACT,VKM_REGIONAL,DESIGN,MEDIUM,VKM-SRC-014,"VKM-SRC-014 p.194 (§7.3, (7.29), Рис. 7.13)",EV-VN-S014-1072,FUZZY_68,
CE-005,GEO_FOLDS_REPL,GM_SEAMS,physical,складчатость меняет мощность и гипсометрию пластов,EV-VN-S011-0366;EV-VN-S023-0072,STRONG,no,PC-08,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VKM-SRC-011;VKM-SRC-023,VKM-SRC-011 p.23 (§1.3.2 II комплекс); VKM-SRC-023 p.25 (rendered p.25; §2.1),EV-VN-S011-0366;EV-VN-S023-0072,EXACT,
CE-006,GEO_SALT_MIRROR,GM_VZT,physical,выщелачивание сводов поднятий утоняет ВЗТ,EV-VN-S037-0089;EV-VN-S037-0309,STRONG,no,PC-46,FACT,SKRU1,NOT_APPLICABLE,HIGH,VKM-SRC-037,VKM-SRC-037 p.7 (§1.1.3); VKM-SRC-037 p.37 (рис. 2.7 легенда 6),EV-VN-S037-0089;EV-VN-S037-0309,EXACT,
CE-007,GEO_FAULTS,GM_HORIZONS,physical,разрывные смещения и повторение разреза,EV-VN-S011-1328;EV-VN-S011-1180,MODERATE,no,PC-35,DERIVATION,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-011,VKM-SRC-011 p.63 (стр. 125); VKM-SRC-011 p.61 (стр. 120),EV-VN-S011-1328;EV-VN-S011-1180,EXACT,
CE-008,GEO_TOPO,GM_HORIZONS,physical,"рельеф — верхняя граница, мощность покрывающей толщи",EV-VN-S023-0318,STRONG,no,PC-05,FACT,SKRU1,NOT_APPLICABLE,HIGH,VKM-SRC-023,VKM-SRC-023 p.48 (Рис.25а (image27.png)),EV-VN-S023-0318,EXACT_ADJACENT_PAGE,
CE-009,GEO_TECTONIC,GEO_FOLDS_REPL,physical,тангенциальное сжатие → складки и надвиги (геологическое время),EV-VN-S037-0059;EV-VN-S014-0217,MODERATE,no,PC-04;PC-20,FACT,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,VKM-SRC-037;VKM-SRC-014,VKM-SRC-037 p.6 (§1.1.3); VKM-SRC-014 p.20 (§1.3),EV-VN-S037-0059;EV-VN-S014-0217,EXACT,
CE-010,GEO_TECTONIC,GEO_FAULTS,physical,подвижки блоков фундамента → разломы (геологическое время),EV-VN-S011-2010;EV-VN-S012-0141,MODERATE,no,PC-04,FACT,SOLIKAMSK_GROUP,FIELD,MEDIUM,VKM-SRC-011;VKM-SRC-012,"VKM-SRC-011 p.118 (§3.8, p.234, Рис. 3.15); VKM-SRC-012 p.31 (§1.4.2, [58])",EV-VN-S011-2010;EV-VN-S012-0141,FUZZY_63,
