relative_path,size_bytes,sha256
artifacts/governance/final_holdout_v2_status.json,714,9e1234dfe737e7eaa36c1613c45cd433414a126b9bea5b2d1bde91a943eb19ef
artifacts/model_selection/t1_b2_v1/aggregate_metrics.csv,1623,c118303c2c5c42c2342b57c65cd1d5f8bd6681f25059699053214571683e0bd2
artifacts/model_selection/t1_b2_v1/calibration_predictions.csv,90334,0170692cda6e68dc7a392da12a018974a95626bad8b629f842e733d0749c88d4
artifacts/model_selection/t1_b2_v1/development_candidate.json,3296,d8d2307bda5735c172116375c9c9b7b01e37c46b6c0b0fa3c86b3c7cef58fdf8
artifacts/model_selection/t1_b2_v1/fold_contracts.csv,5284,e94ce90e6172d2d078af31477a8ba0222b0be892dfe6016aac8d21c2f7da4c10
artifacts/model_selection/t1_b2_v1/gate_b2_report.json,4786,861e4f993c66110bba19a8c7d518491e8e05a437647b23dcc0cc1de089a58f72
artifacts/model_selection/t1_b2_v1/interval_calibration.csv,400,89732a4adc04bcfcedbf6c107811b18666b0160dfe9ba25f38cfa278119d8dc9
artifacts/model_selection/t1_b2_v1/interval_metrics.csv,476,9369e2b9ef3c73589bbc3ae08468a10922d61ce26ef1e3091d80dcfef9c3cc28
artifacts/model_selection/t1_b2_v1/model_comparison.csv,1501,657de415167221569bb11cbaff22e7941efa12dd1c9559362c14bc48fb916cba
artifacts/model_selection/t1_b2_v1/outer_fold_metrics.csv,12019,da285be22be6aa6ec59ed002d8e166462e17ceb3ace9b2583b7bbf06dc3b678c
artifacts/model_selection/t1_b2_v1/outer_fold_predictions.csv,492462,e1b933e35aa126719fac31ca0d9b468e4feb70c296beaa8faa1b25cf3120a79f
artifacts/model_selection/t1_b2_v1/protected_test_snapshot.json,2532,1caedc0672a3038baeb94abd7a48a0468eafe6fff09dd1ea16a6620d6e910603
artifacts/model_selection/t1_b2_v1/q_tuning.csv,552221,dbc5af2dc8fb3608d7e38d965d6ebfb30d83959b8e7b00c92020aa425092495a
artifacts/model_selection/t1_b2_v1/transition_metrics.csv,15039,7e8215594ec974295c46d60d41948043cf3e54306ec662c0a65adda5e03955de
artifacts/model_selection/t1_b2_v1/transition_thresholds.csv,3828,84edcc548f8addbe862bee1d7e5ddd91177474db3490562beef58902c0bd05a9
artifacts/model_selection/t1_b2_v1/validation_intervals.csv,60863,ebd3d1d0281ee8d5e08ad468a973c8477530eeac103fc65d157edb4f9ecaf5e1
artifacts/model_selection/t1_b2_v1/validation_report.json,43949,d5603d94be590a77ddb001b0b402fec4e61f40c2ba4fb590b535e3a1937d38b6
